catchment,storm_name,mean,median,std,min,max,iqr
cat-694853-discharge,Hurricane Arthur,26297.31,27178.75,4633.01,13545.0,40581.17,4815.57
cat-694853-discharge,Hurricane Dorian,25953.48,27725.54,4545.89,13549.15,32311.99,7022.79
cat-694853-discharge,Hurricane Hanna,23547.64,24541.41,3625.19,13545.0,27494.19,4991.25
cat-694853-discharge,Hurricane Irene,35116.0,36759.02,7759.05,13545.0,45850.72,10982.82
cat-694853-discharge,Hurricane Sandy,29139.03,30698.62,5638.78,13545.05,39761.33,7666.62
cat-694853-discharge,Tropical Storm Barry,22958.29,23417.94,3218.04,13545.09,27723.97,4062.98
cat-694853-discharge,Tropical Storm Jose,22543.13,22491.23,5525.33,14231.15,30522.16,10711.63
cat-694853-discharge,Tropical Storm Ogla,20776.57,20500.94,4371.13,13545.0,27169.38,8109.99
cat-694853-discharge,Tropical Storm Philippe,21116.52,21799.57,4064.86,13545.0,27221.13,6716.12
cat-694852-discharge,Hurricane Arthur,70971.85,74071.12,11626.14,37608.25,98667.32,12950.54
cat-694852-discharge,Hurricane Dorian,69092.53,73905.34,12041.82,37617.61,83063.3,19168.36
cat-694852-discharge,Hurricane Hanna,64330.77,66947.18,9879.14,37608.25,74966.23,13882.15
cat-694852-discharge,Hurricane Irene,91612.33,94914.13,20169.28,37608.25,116500.1,29602.13
cat-694852-discharge,Hurricane Sandy,77368.58,81494.56,14549.12,37608.34,99558.48,20881.06
cat-694852-discharge,Tropical Storm Barry,62374.54,63624.6,8799.9,37608.44,74369.94,12080.43
cat-694852-discharge,Tropical Storm Jose,61348.07,60844.64,14803.46,38952.9,82730.4,28359.63
cat-694852-discharge,Tropical Storm Ogla,56958.84,56389.05,11849.44,37608.25,74277.64,22397.76
cat-694852-discharge,Tropical Storm Philippe,57497.49,59147.39,11197.53,37608.34,74412.52,19055.78
cat-694856-discharge,Hurricane Arthur,14106.44,13942.19,1714.47,12682.21,23861.39,1326.17
cat-694856-discharge,Hurricane Dorian,13594.23,13766.78,1071.79,11887.86,16010.9,1883.07
cat-694856-discharge,Hurricane Hanna,14020.48,14000.27,549.76,13103.75,14974.37,934.25
cat-694856-discharge,Hurricane Irene,14725.56,13826.51,2419.95,12682.21,23480.09,1566.61
cat-694856-discharge,Hurricane Sandy,13868.17,13561.08,1283.76,12277.17,19694.55,1707.96
cat-694856-discharge,Tropical Storm Barry,13660.23,13717.48,859.01,12280.45,15454.38,1465.01
cat-694856-discharge,Tropical Storm Jose,13592.63,13542.84,824.26,12277.17,15386.07,1345.18
cat-694856-discharge,Tropical Storm Ogla,13572.59,13543.04,785.71,12277.36,14974.37,1345.18
cat-694856-discharge,Tropical Storm Philippe,13388.04,13332.7,908.83,11887.86,14974.37,1541.71
cat-694725-discharge,Hurricane Arthur,38087.29,38031.97,1849.46,35029.87,41360.92,3160.07
cat-694725-discharge,Hurricane Dorian,36896.7,36794.28,2480.36,32835.69,41360.92,4248.48
cat-694725-discharge,Hurricane Hanna,38706.71,38670.29,1514.26,36194.16,41360.92,2580.53
cat-694725-discharge,Hurricane Irene,38087.29,38031.97,1849.46,35029.87,41360.92,3160.07
cat-694725-discharge,Hurricane Sandy,37484.16,37406.8,2171.28,33910.96,41360.92,3715.56
cat-694725-discharge,Tropical Storm Barry,37484.16,37406.8,2171.28,33910.96,41360.92,3715.56
cat-694725-discharge,Tropical Storm Jose,37484.16,37406.8,2171.28,33910.96,41360.92,3715.56
cat-694725-discharge,Tropical Storm Ogla,37484.16,37406.8,2171.28,33910.96,41360.92,3715.56
cat-694725-discharge,Tropical Storm Philippe,36896.7,36794.28,2480.36,32835.69,41360.92,4248.48
cat-694855-discharge,Hurricane Arthur,12833.24,12814.6,623.16,11803.02,13936.27,1064.74
cat-694855-discharge,Hurricane Dorian,12432.08,12397.58,835.74,11063.74,13936.27,1431.48
cat-694855-discharge,Hurricane Hanna,13041.95,13029.65,510.22,12195.37,13936.27,869.45
cat-694855-discharge,Hurricane Irene,12833.24,12814.6,623.16,11803.02,13936.27,1064.74
cat-694855-discharge,Hurricane Sandy,12630.02,12603.96,731.6,11426.07,13936.27,1251.97
cat-694855-discharge,Tropical Storm Barry,12630.02,12603.96,731.6,11426.07,13936.27,1251.97
cat-694855-discharge,Tropical Storm Jose,12630.02,12603.96,731.6,11426.07,13936.27,1251.97
cat-694855-discharge,Tropical Storm Ogla,12630.02,12603.96,731.6,11426.07,13936.27,1251.97
cat-694855-discharge,Tropical Storm Philippe,12432.08,12397.58,835.74,11063.74,13936.27,1431.48
cat-694724-discharge,Hurricane Arthur,5306.63,5298.93,257.68,4880.63,5762.74,440.29
cat-694724-discharge,Hurricane Dorian,5140.74,5126.49,345.58,4574.94,5762.74,591.91
cat-694724-discharge,Hurricane Hanna,5392.93,5387.84,210.98,5042.87,5762.74,359.51
cat-694724-discharge,Hurricane Irene,5306.63,5298.93,257.68,4880.63,5762.74,440.29
cat-694724-discharge,Hurricane Sandy,5222.59,5211.82,302.52,4724.76,5762.74,517.7
cat-694724-discharge,Tropical Storm Barry,5222.59,5211.82,302.52,4724.76,5762.74,517.7
cat-694724-discharge,Tropical Storm Jose,5222.59,5211.82,302.52,4724.76,5762.74,517.7
cat-694724-discharge,Tropical Storm Ogla,5222.59,5211.82,302.52,4724.76,5762.74,517.7
cat-694724-discharge,Tropical Storm Philippe,5140.74,5126.49,345.58,4574.94,5762.74,591.91
cat-694854-discharge,Hurricane Arthur,20796.95,21171.42,4107.85,12597.34,26278.42,7526.08
cat-694854-discharge,Hurricane Dorian,18509.26,17917.96,5058.22,11324.14,26278.42,9788.91
cat-694854-discharge,Hurricane Hanna,21982.09,22729.72,3709.45,12597.34,26278.42,5803.18
cat-694854-discharge,Hurricane Irene,20796.95,21171.42,4107.85,12597.34,26278.42,7526.08
cat-694854-discharge,Hurricane Sandy,19599.7,19478.96,4625.4,12597.34,26278.42,8896.8
cat-694854-discharge,Tropical Storm Barry,19599.7,19478.96,4625.4,12597.34,26278.42,8896.8
cat-694854-discharge,Tropical Storm Jose,19599.7,19478.96,4625.4,12597.34,26278.42,8896.8
cat-694854-discharge,Tropical Storm Ogla,19599.7,19478.96,4625.4,12597.34,26278.42,8896.8
cat-694854-discharge,Tropical Storm Philippe,18509.26,17917.96,5058.22,11324.14,26278.42,9788.91
cat-694723-discharge,Hurricane Arthur,5535.29,5527.27,268.79,5090.96,6011.06,459.26
cat-694723-discharge,Hurricane Dorian,5362.26,5347.4,360.47,4772.08,6011.06,617.43
cat-694723-discharge,Hurricane Hanna,5625.32,5620.01,220.07,5260.15,6011.06,375.02
cat-694723-discharge,Hurricane Irene,5535.29,5527.27,268.79,5090.96,6011.06,459.26
cat-694723-discharge,Hurricane Sandy,5447.64,5436.4,315.56,4928.36,6011.06,540.0
cat-694723-discharge,Tropical Storm Barry,5447.64,5436.4,315.56,4928.36,6011.06,540.0
cat-694723-discharge,Tropical Storm Jose,5447.64,5436.4,315.56,4928.36,6011.06,540.0
cat-694723-discharge,Tropical Storm Ogla,5447.64,5436.4,315.56,4928.36,6011.06,540.0
cat-694723-discharge,Tropical Storm Philippe,5362.26,5347.4,360.47,4772.08,6011.06,617.43
cat-694722-discharge,Hurricane Arthur,4425.87,4419.45,214.91,4070.59,4806.28,367.21
cat-694722-discharge,Hurricane Dorian,4287.52,4275.63,288.22,3815.63,4806.28,493.68
cat-694722-discharge,Hurricane Hanna,4497.85,4493.6,175.96,4205.88,4806.28,299.86
cat-694722-discharge,Hurricane Irene,4425.87,4419.45,214.91,4070.59,4806.28,367.21
cat-694722-discharge,Hurricane Sandy,4355.79,4346.8,252.31,3940.58,4806.28,431.77
cat-694722-discharge,Tropical Storm Barry,4355.79,4346.8,252.31,3940.58,4806.28,431.77
cat-694722-discharge,Tropical Storm Jose,4355.79,4346.8,252.31,3940.58,4806.28,431.77
cat-694722-discharge,Tropical Storm Ogla,4355.79,4346.8,252.31,3940.58,4806.28,431.77
cat-694722-discharge,Tropical Storm Philippe,4287.52,4275.63,288.22,3815.63,4806.28,493.68
