datetime,surge,flood_depth,,time,precip_rate,,time,8
10/26/2017 4:00,1.705931371,0,,10/26/2017 4:00,0,,2017-10-26 4:00:00,5718.912233
10/26/2017 5:00,1.705931371,0,,10/26/2017 5:00,0,,2017-10-26 5:00:00,5710.84602
10/26/2017 6:00,1.705931371,0,,10/26/2017 6:00,0,,2017-10-26 6:00:00,5702.812865
10/26/2017 7:00,1.705931371,0,,10/26/2017 7:00,0,,2017-10-26 7:00:00,5694.746651
10/26/2017 8:00,1.705931371,0,,10/26/2017 8:00,0,,2017-10-26 8:00:00,5686.746555
10/26/2017 9:00,1.705931371,0,,10/26/2017 9:00,0,,2017-10-26 9:00:00,5678.746458
10/26/2017 10:00,1.705931371,0,,10/26/2017 10:00,0,,2017-10-26 10:00:00,5670.746361
10/26/2017 11:00,1.705931371,0,,10/26/2017 11:00,0,,2017-10-26 11:00:00,5662.746264
10/26/2017 12:00,1.705931371,0,,10/26/2017 12:00,0,,2017-10-26 12:00:00,5654.779225
10/26/2017 13:00,1.705931371,0,,10/26/2017 13:00,0,,2017-10-26 13:00:00,5646.845245
10/26/2017 14:00,1.705931371,0,,10/26/2017 14:00,0,,2017-10-26 14:00:00,5638.911265
10/26/2017 15:00,1.705931371,0,,10/26/2017 15:00,0,,2017-10-26 15:00:00,5630.977284
10/26/2017 16:00,1.705931371,0,,10/26/2017 16:00,0,,2017-10-26 16:00:00,5623.076362
10/26/2017 17:00,1.705931371,0,,10/26/2017 17:00,0,,2017-10-26 17:00:00,5615.17544
10/26/2017 18:00,1.705931371,0,,10/26/2017 18:00,0,,2017-10-26 18:00:00,5607.307576
10/26/2017 19:00,1.705931371,0,,10/26/2017 19:00,0,,2017-10-26 19:00:00,5599.439712
10/26/2017 20:00,1.705931371,0,,10/26/2017 20:00,0,,2017-10-26 20:00:00,5591.571848
10/26/2017 21:00,1.705931371,0,,10/26/2017 21:00,0,,2017-10-26 21:00:00,5583.737043
10/26/2017 22:00,1.705931371,0,,10/26/2017 22:00,0,,2017-10-26 22:00:00,5575.902237
10/26/2017 23:00,1.705931371,0,,10/26/2017 23:00,0,,2017-10-26 23:00:00,5568.10049
10/27/2017 0:00,1.705931371,0,,10/27/2017 0:00,0,,2017-10-27 0:00:00,5560.298742
10/27/2017 1:00,1.705931371,0,,10/27/2017 1:00,0,,2017-10-27 1:00:00,5552.496995
10/27/2017 2:00,1.705931371,0,,10/27/2017 2:00,0,,2017-10-27 2:00:00,5544.728306
10/27/2017 3:00,1.705931371,0,,10/27/2017 3:00,0,,2017-10-27 3:00:00,5536.992675
10/27/2017 4:00,1.705931371,0,,10/27/2017 4:00,0,,2017-10-27 4:00:00,5529.223986
10/27/2017 5:00,1.705931371,0,,10/27/2017 5:00,0,,2017-10-27 5:00:00,5521.521413
10/27/2017 6:00,1.705931371,0,,10/27/2017 6:00,0,,2017-10-27 6:00:00,5513.785782
10/27/2017 7:00,1.705931371,0,,10/27/2017 7:00,0,,2017-10-27 7:00:00,5506.08321
10/27/2017 8:00,1.705931371,0,,10/27/2017 8:00,0,,2017-10-27 8:00:00,5498.380637
10/27/2017 9:00,1.705931371,0,,10/27/2017 9:00,0,,2017-10-27 9:00:00,5490.711123
10/27/2017 10:00,1.705931371,0,,10/27/2017 10:00,0,,2017-10-27 10:00:00,5483.041608
10/27/2017 11:00,1.705931371,0,,10/27/2017 11:00,0,,2017-10-27 11:00:00,5475.405152
10/27/2017 12:00,1.705931371,0,,10/27/2017 12:00,0,,2017-10-27 12:00:00,5467.768696
10/27/2017 13:00,1.705931371,0,,10/27/2017 13:00,0,,2017-10-27 13:00:00,5460.13224
10/27/2017 14:00,1.705931371,0,,10/27/2017 14:00,0,,2017-10-27 14:00:00,5452.528842
10/27/2017 15:00,1.705931371,0,,10/27/2017 15:00,0,,2017-10-27 15:00:00,5444.925444
10/27/2017 16:00,1.705931371,0,,10/27/2017 16:00,0,,2017-10-27 16:00:00,5437.355105
10/27/2017 17:00,1.705931371,0,,10/27/2017 17:00,0,,2017-10-27 17:00:00,5429.784765
10/27/2017 18:00,1.705931371,0,,10/27/2017 18:00,0,,2017-10-27 18:00:00,5422.214425
10/27/2017 19:00,1.705931371,0,,10/27/2017 19:00,0,,2017-10-27 19:00:00,5414.677144
10/27/2017 20:00,1.705931371,0,,10/27/2017 20:00,0,,2017-10-27 20:00:00,5407.139863
10/27/2017 21:00,1.705931371,0,,10/27/2017 21:00,0,,2017-10-27 21:00:00,5399.63564
10/27/2017 22:00,1.705931371,0,,10/27/2017 22:00,0,,2017-10-27 22:00:00,5392.131416
10/27/2017 23:00,1.705931371,0,,10/27/2017 23:00,0,,2017-10-27 23:00:00,5384.627193
10/28/2017 0:00,1.705931371,0,,10/28/2017 0:00,0,,2017-10-28 0:00:00,5377.156028
10/28/2017 1:00,1.705931371,0,,10/28/2017 1:00,0,,2017-10-28 1:00:00,5369.684864
10/28/2017 2:00,1.705931371,0,,10/28/2017 2:00,0,,2017-10-28 2:00:00,5362.246757
10/28/2017 3:00,1.705931371,0,,10/28/2017 3:00,0,,2017-10-28 3:00:00,5354.80865
10/28/2017 4:00,1.705931371,0,,10/28/2017 4:00,0,,2017-10-28 4:00:00,5347.370544
10/28/2017 5:00,1.705931371,0,,10/28/2017 5:00,0,,2017-10-28 5:00:00,5339.965495
10/28/2017 6:00,1.705931371,0,,10/28/2017 6:00,0,,2017-10-28 6:00:00,5332.560447
10/28/2017 7:00,1.705931371,0,,10/28/2017 7:00,0,,2017-10-28 7:00:00,5325.155399
10/28/2017 8:00,1.705931371,0,,10/28/2017 8:00,0,,2017-10-28 8:00:00,5317.783409
10/28/2017 9:00,1.705931371,0,,10/28/2017 9:00,0,,2017-10-28 9:00:00,5310.411419
10/28/2017 10:00,1.705931371,0,,10/28/2017 10:00,0,,2017-10-28 10:00:00,5303.072487
10/28/2017 11:00,1.705931371,0,,10/28/2017 11:00,0,,2017-10-28 11:00:00,5295.733555
10/28/2017 12:00,1.705931371,0,,10/28/2017 12:00,0,,2017-10-28 12:00:00,5288.427681
10/28/2017 13:00,1.705931371,0,,10/28/2017 13:00,0,,2017-10-28 13:00:00,5281.088749
10/28/2017 14:00,1.705931371,0,,10/28/2017 14:00,0,,2017-10-28 14:00:00,5273.815934
10/28/2017 15:00,1.705931371,0,,10/28/2017 15:00,0,,2017-10-28 15:00:00,5266.51006
10/28/2017 16:00,1.705931371,0,,10/28/2017 16:00,0,,2017-10-28 16:00:00,5259.237245
10/28/2017 17:00,1.705931371,0,,10/28/2017 17:00,0,,2017-10-28 17:00:00,5251.96443
10/28/2017 18:00,1.705931371,0,,10/28/2017 18:00,0,,2017-10-28 18:00:00,5244.724673
10/28/2017 19:00,1.705931371,0,,10/28/2017 19:00,0,,2017-10-28 19:00:00,5237.484916
10/28/2017 20:00,1.705931371,0,,10/28/2017 20:00,0,,2017-10-28 20:00:00,5230.245158
10/28/2017 21:00,1.705931371,0,,10/28/2017 21:00,0,,2017-10-28 21:00:00,5223.03846
10/28/2017 22:00,1.705931371,0,,10/28/2017 22:00,0,,2017-10-28 22:00:00,5215.831761
10/28/2017 23:00,1.705931371,0,,10/28/2017 23:00,0,,2017-10-28 23:00:00,5208.65812
10/29/2017 0:00,1.705931371,0,,10/29/2017 0:00,0,,2017-10-29 0:00:00,5201.48448
10/29/2017 1:00,1.705931371,0,,10/29/2017 1:00,0,,2017-10-29 1:00:00,5194.310839
10/29/2017 2:00,1.705931371,0,,10/29/2017 2:00,0,,2017-10-29 2:00:00,5187.170257
10/29/2017 3:00,1.705931371,0,,10/29/2017 3:00,0,,2017-10-29 3:00:00,5180.029674
10/29/2017 4:00,1.705931371,0,,10/29/2017 4:00,0,,2017-10-29 4:00:00,5172.889092
10/29/2017 5:00,1.705931371,0,,10/29/2017 5:00,0,,2017-10-29 5:00:00,5165.781568
10/29/2017 6:00,1.705931371,0,,10/29/2017 6:00,0,,2017-10-29 6:00:00,5158.674044
10/29/2017 7:00,1.705931371,0,,10/29/2017 7:00,0,,2017-10-29 7:00:00,5151.599578
10/29/2017 8:00,1.705931371,0,,10/29/2017 8:00,0,,2017-10-29 8:00:00,5144.525112
10/29/2017 9:00,1.705931371,0,,10/29/2017 9:00,0,,2017-10-29 9:00:00,5137.450646
10/29/2017 10:00,1.705931371,0,,10/29/2017 10:00,0,,2017-10-29 10:00:00,5130.37618
10/29/2017 11:00,1.705931371,0,,10/29/2017 11:00,0,,2017-10-29 11:00:00,5123.334773
10/29/2017 12:00,1.705931371,0,,10/29/2017 12:00,0,,2017-10-29 12:00:00,5116.326423
10/29/2017 13:00,1.705931371,0,,10/29/2017 13:00,0,,2017-10-29 13:00:00,5109.285016
10/29/2017 14:00,1.705931371,0,,10/29/2017 14:00,0,,2017-10-29 14:00:00,5102.276667
10/29/2017 15:00,1.705931371,0,,10/29/2017 15:00,0,,2017-10-29 15:00:00,5095.301375
10/29/2017 16:00,1.705931371,0,,10/29/2017 16:00,0,,2017-10-29 16:00:00,5088.326084
10/29/2017 17:00,1.705931371,0,,10/29/2017 17:00,0,,2017-10-29 17:00:00,5081.350793
10/29/2017 18:00,1.705931371,0,,10/29/2017 18:00,0,,2017-10-29 18:00:00,5074.375502
10/29/2017 19:00,1.705931371,0,,10/29/2017 19:00,0,,2017-10-29 19:00:00,5067.433269
10/29/2017 20:00,1.705931371,0,,10/29/2017 20:00,0,,2017-10-29 20:00:00,5060.491037
10/29/2017 21:00,1.705931371,0,,10/29/2017 21:00,0,,2017-10-29 21:00:00,5053.581862
10/29/2017 22:00,1.705931371,0,,10/29/2017 22:00,0,,2017-10-29 22:00:00,5046.672687
10/29/2017 23:00,1.705931371,0,,10/29/2017 23:00,0,,2017-10-29 23:00:00,5039.763513
10/30/2017 0:00,1.705931371,0,,10/30/2017 0:00,0,,2017-10-30 0:00:00,5032.854338
10/30/2017 1:00,1.705931371,0,,10/30/2017 1:00,0,,2017-10-30 1:00:00,5025.978222
10/30/2017 2:00,1.705931371,0,,10/30/2017 2:00,0,,2017-10-30 2:00:00,5019.135164
10/30/2017 3:00,1.705931371,0,,10/30/2017 3:00,0,,2017-10-30 3:00:00,5012.259047
10/30/2017 4:00,1.705931371,0,,10/30/2017 4:00,0,,2017-10-30 4:00:00,5005.415989
10/30/2017 5:00,1.612373836,0.013759086,,10/30/2017 5:00,0,,2017-10-30 5:00:00,4998.60599
10/30/2017 6:00,1.081890716,0.944395218,,10/30/2017 6:00,0,,2017-10-30 6:00:00,4991.762931
10/30/2017 7:00,1.408347507,1.270851978,,10/30/2017 7:00,0,,2017-10-30 7:00:00,4984.952932
10/30/2017 8:00,1.319037694,0.892964984,,10/30/2017 8:00,0,,2017-10-30 8:00:00,4978.17599
10/30/2017 9:00,1.705931371,0,,10/30/2017 9:00,0,,2017-10-30 9:00:00,4971.399048
10/30/2017 10:00,1.705931371,0,,10/30/2017 10:00,0,,2017-10-30 10:00:00,4964.622107
10/30/2017 11:00,1.705931371,0,,10/30/2017 11:00,0,,2017-10-30 11:00:00,4957.845165
10/30/2017 12:00,1.705931371,0,,10/30/2017 12:00,0,,2017-10-30 12:00:00,4951.101282
10/30/2017 13:00,1.705931371,0,,10/30/2017 13:00,0,,2017-10-30 13:00:00,4944.357399
10/30/2017 14:00,1.705931371,0,,10/30/2017 14:00,0,,2017-10-30 14:00:00,4937.613515
10/30/2017 15:00,1.705931371,0,,10/30/2017 15:00,0,,2017-10-30 15:00:00,4930.90269
10/30/2017 16:00,1.705931371,0,,10/30/2017 16:00,0,,2017-10-30 16:00:00,4924.191865
10/30/2017 17:00,1.705931371,0,,10/30/2017 17:00,0,,2017-10-30 17:00:00,4917.514098
10/30/2017 18:00,1.705931371,0,,10/30/2017 18:00,0,,2017-10-30 18:00:00,4910.836332
10/30/2017 19:00,1.705931371,0,,10/30/2017 19:00,0,,2017-10-30 19:00:00,4904.158565
10/30/2017 20:00,0.397410986,0.083295681,,10/30/2017 20:00,0,,2017-10-30 20:00:00,4897.480798
10/30/2017 21:00,0.292858337,0.155362828,,10/30/2017 21:00,0,,2017-10-30 21:00:00,4890.836089
10/30/2017 22:00,0.26844162,0.130946114,,10/30/2017 22:00,0,,2017-10-30 22:00:00,4884.191381
10/30/2017 23:00,0.246838984,0.109343473,,10/30/2017 23:00,0,,2017-10-30 23:00:00,4877.57973
10/31/2017 0:00,0.229968203,0.092472696,,10/31/2017 0:00,0,,2017-10-31 0:00:00,4870.96808
10/31/2017 1:00,0.214603747,0.07710824,,10/31/2017 1:00,0,,2017-10-31 1:00:00,4864.35643
10/31/2017 2:00,0.202710625,0.065215118,,10/31/2017 2:00,0,,2017-10-31 2:00:00,4857.74478
10/31/2017 3:00,0.193664036,0.056168529,,10/31/2017 3:00,0,,2017-10-31 3:00:00,4851.166187
10/31/2017 4:00,0.187131225,0.049635717,,10/31/2017 4:00,0,,2017-10-31 4:00:00,4844.587595
