Guage,long,lat
8,-73.92812229,40.79886357
9,-73.93297853,40.81465804
10,-73.91852069,40.85901734
11,-73.93620046,40.78674719
12,-73.9443425,40.771161
13,-73.95327527,40.7608479
14,-73.96418112,40.74881316
15,-73.97000101,40.7335919
16,-73.96937425,40.72186259
17,-73.98463437,40.70654412
19,-73.99858622,40.70338978
20,-74.01872543,40.69805168
21,-74.02139448,40.71685636
22,-74.01593505,40.73796612
23,-74.00841318,40.75968249
24,-73.99676642,40.77642472
25,-73.98669681,40.79074054
26,-73.97480741,40.80748277
27,-73.96333704,40.82785952
28,-73.952201,40.84738034
29,-73.94080294,40.86703217
30,-73.9340877,40.83301385
31,-73.92699896,40.84780748